letter	number	name	frequency	specialisation
A1	56	Electrical Machinery, apparatus, energy	0.1538	2.5591
A2	1	Audio-Visual Technology	0.0027	0.1019
A3	4	Telecommunications	0.011	0.4264
A4	2	Digital Communication	0.0055	0.1567
A5	2	Basic Communication Processes	0.0055	0.5612
B2	3	Measurement	0.0082	0.165
B3	12	Analysis of Biological Materials	0.033	4.1772
B4	7	Control	0.0192	1.2152
B5	11	Medical Technology	0.0302	0.6537
C1	13	Organic Fine Chemistery	0.0357	0.7778
C10	3	Chemical Engineering	0.0082	0.268
C11	4	Environmental Technology	0.011	0.7237
C2	6	Biotechnology	0.0165	0.583
C3	24	Pharmaceuticals	0.0659	1.529
C4	1	Macromolecular chemistery, polymers	0.0027	0.1027
C6	2	Basic materials chemistery	0.0055	0.1943
C7	18	Materials, metallurgy	0.0495	2.4265
C8	1	Surface technology, coating	0.0027	0.1837
D1	27	Handling	0.0742	1.7418
D2	17	Machine Tools	0.0467	1.4414
D3	12	Engines, Pumps, Turbines	0.033	0.9792
D5	9	Other Special Machines	0.0247	0.619
D6	16	Thermal Processes and Apparatus	0.044	2.1569
D7	25	Mechanical Elements	0.0687	1.6797
D8	66	Transport	0.1813	3.153
E1	3	Furniture, Games	0.0082	0.3431
E3	19	Civil Engineering	0.0522	1.0966
