letter	number	name	frequency	specialisation
A1	10	Electrical Machinery, apparatus, energy	0.0196	0.3261
A2	2	Audio-Visual Technology	0.0039	0.1472
A3	1	Telecommunications	0.002	0.0775
A6	2	Computer Technology	0.0039	0.1204
B1	10	Optics	0.0196	1.037
B2	5	Measurement	0.0098	0.1972
B3	1	Analysis of Biological Materials	0.002	0.2532
B4	8	Control	0.0157	0.9937
B5	12	Medical Technology	0.0236	0.5108
C1	6	Organic Fine Chemistery	0.0118	0.2571
C10	27	Chemical Engineering	0.053	1.732
C11	8	Environmental Technology	0.0157	1.0329
C3	7	Pharmaceuticals	0.0138	0.3202
C4	11	Macromolecular chemistery, polymers	0.0216	0.8213
C5	3	Food chemistery	0.0059	0.513
C6	2	Basic materials chemistery	0.0039	0.1378
C7	7	Materials, metallurgy	0.0138	0.6765
C8	8	Surface technology, coating	0.0157	1.068
D1	67	Handling	0.1316	3.0892
D2	41	Machine Tools	0.0806	2.4877
D3	12	Engines, Pumps, Turbines	0.0236	0.7003
D4	8	Textile and Paper Machines	0.0157	0.5858
D5	30	Other Special Machines	0.0589	1.4762
D6	15	Thermal Processes and Apparatus	0.0295	1.4461
D7	19	Mechanical Elements	0.0373	0.912
D8	38	Transport	0.0747	1.2991
E1	29	Furniture, Games	0.057	2.3849
E2	7	Other Consumer Goods	0.0138	0.6359
E3	113	Civil Engineering	0.222	4.6639
